epoch,train_Loss,train_ACC,train_PRE,train_SEN,train_SPE,train_F1,train_AUC,train_MCC,val_Loss,val_ACC,val_PRE,val_SEN,val_SPE,val_F1,val_AUC,val_MCC
69,0.4261,0.8687,0.8438,0.7364,0.9333,0.7864,0.9064,0.6956,0.6178,0.6250,0.4286,0.3750,0.7500,0.4000,0.6445,0.1296
70,0.4468,0.8239,0.7629,0.6727,0.8978,0.7150,0.8837,0.5907,0.6083,0.6875,0.5556,0.3125,0.8750,0.4000,0.6445,0.2265
71,0.4278,0.8507,0.8333,0.6818,0.9333,0.7500,0.9083,0.6517,0.6149,0.6458,0.4545,0.3125,0.8125,0.3704,0.6348,0.1402
72,0.4226,0.8627,0.8478,0.7091,0.9378,0.7723,0.9129,0.6806,0.6076,0.6667,0.5000,0.3125,0.8437,0.3846,0.6348,0.1814
73,0.4270,0.8448,0.8085,0.6909,0.9200,0.7451,0.9093,0.6385,0.6055,0.6667,0.5000,0.3125,0.8437,0.3846,0.6445,0.1814
74,0.4279,0.8269,0.7653,0.6818,0.8978,0.7212,0.9016,0.5983,0.6139,0.6250,0.4167,0.3125,0.7812,0.3571,0.6348,0.1021
75,0.4231,0.8537,0.8211,0.7091,0.9244,0.7610,0.9115,0.6601,0.6117,0.6250,0.4167,0.3125,0.7812,0.3571,0.6367,0.1021
76,0.4081,0.8716,0.8602,0.7273,0.9422,0.7882,0.9201,0.7021,0.6127,0.6250,0.4167,0.3125,0.7812,0.3571,0.6367,0.1021
77,0.4359,0.8090,0.7447,0.6364,0.8933,0.6863,0.8921,0.5537,0.6187,0.6042,0.4000,0.3750,0.7187,0.3871,0.6455,0.0953
78,0.4281,0.8418,0.8065,0.6818,0.9200,0.7389,0.9055,0.6311,0.6109,0.6250,0.4167,0.3125,0.7812,0.3571,0.6436,0.1021
79,0.4301,0.8328,0.8068,0.6455,0.9244,0.7172,0.9001,0.6081,0.6111,0.6667,0.5000,0.3125,0.8437,0.3846,0.6387,0.1814
80,0.4232,0.8418,0.8353,0.6455,0.9378,0.7282,0.9077,0.6294,0.6125,0.6250,0.4167,0.3125,0.7812,0.3571,0.6387,0.1021
81,0.4124,0.8597,0.8539,0.6909,0.9422,0.7638,0.9181,0.6732,0.6044,0.7083,0.6250,0.3125,0.9062,0.4167,0.6426,0.2767
82,0.4247,0.8507,0.8488,0.6636,0.9422,0.7449,0.9115,0.6513,0.6097,0.6250,0.4167,0.3125,0.7812,0.3571,0.6426,0.1021
83,0.4202,0.8358,0.7957,0.6727,0.9156,0.7291,0.9142,0.6169,0.6111,0.6250,0.4167,0.3125,0.7812,0.3571,0.6426,0.1021
84,0.4223,0.8388,0.7979,0.6818,0.9156,0.7353,0.9166,0.6244,0.6072,0.6250,0.4167,0.3125,0.7812,0.3571,0.6436,0.1021
85,0.4201,0.8507,0.8125,0.7091,0.9200,0.7573,0.9120,0.6534,0.6108,0.6250,0.4167,0.3125,0.7812,0.3571,0.6387,0.1021
86,0.4234,0.8358,0.7723,0.7091,0.8978,0.7393,0.9053,0.6210,0.6053,0.6667,0.5000,0.3125,0.8437,0.3846,0.6426,0.1814
87,0.4021,0.8776,0.8791,0.7273,0.9511,0.7960,0.9364,0.7162,0.6088,0.6458,0.4545,0.3125,0.8125,0.3704,0.6426,0.1402
88,0.4186,0.8418,0.7938,0.7000,0.9111,0.7440,0.9135,0.6328,0.6072,0.6667,0.5000,0.3125,0.8437,0.3846,0.6426,0.1814
89,0.4210,0.8597,0.8387,0.7091,0.9333,0.7685,0.9086,0.6737,0.6182,0.6042,0.4118,0.4375,0.6875,0.4242,0.6416,0.1232
90,0.4230,0.8388,0.7979,0.6818,0.9156,0.7353,0.9076,0.6244,0.6062,0.6667,0.5000,0.3125,0.8437,0.3846,0.6426,0.1814
91,0.4310,0.8239,0.7742,0.6545,0.9067,0.7094,0.9003,0.5885,0.6049,0.6667,0.5000,0.3125,0.8437,0.3846,0.6426,0.1814
92,0.4016,0.8746,0.8400,0.7636,0.9289,0.8000,0.9273,0.7107,0.6095,0.6458,0.4545,0.3125,0.8125,0.3704,0.6426,0.1402
93,0.4140,0.8418,0.8132,0.6727,0.9244,0.7363,0.9176,0.6305,0.6094,0.6458,0.4545,0.3125,0.8125,0.3704,0.6426,0.1402
94,0.4093,0.8478,0.7980,0.7182,0.9111,0.7560,0.9211,0.6477,0.6087,0.6458,0.4545,0.3125,0.8125,0.3704,0.6426,0.1402
95,0.4182,0.8448,0.8085,0.6909,0.9200,0.7451,0.9119,0.6385,0.6088,0.6458,0.4545,0.3125,0.8125,0.3704,0.6426,0.1402
96,0.4017,0.8657,0.8571,0.7091,0.9422,0.7761,0.9292,0.6876,0.6143,0.6250,0.4286,0.3750,0.7500,0.4000,0.6426,0.1296
97,0.4103,0.8657,0.8495,0.7182,0.9378,0.7783,0.9143,0.6879,0.6050,0.6667,0.5000,0.3125,0.8437,0.3846,0.6426,0.1814
98,0.4119,0.8657,0.8421,0.7273,0.9333,0.7805,0.9134,0.6883,0.6117,0.6042,0.3846,0.3125,0.7500,0.3448,0.6426,0.0663
99,0.4044,0.8806,0.8646,0.7545,0.9422,0.8058,0.9261,0.7237,0.6085,0.6458,0.4545,0.3125,0.8125,0.3704,0.6426,0.1402
100,0.4164,0.8507,0.8125,0.7091,0.9200,0.7573,0.9135,0.6534,0.6039,0.6667,0.5000,0.3125,0.8437,0.3846,0.6426,0.1814
